Air_temperature,Process_temperature,HDF
298.1,308.6,0
298.2,308.7,0
298.1,308.5,0
298.2,308.6,0
298.2,308.7,0
298.1,308.6,0
298.1,308.6,0
298.1,308.6,0
298.3,308.7,0
298.5,309.0,0
298.4,308.9,0
298.6,309.1,0
298.6,309.1,0
298.6,309.2,0
298.6,309.2,0
298.6,309.2,0
298.6,309.2,0
298.7,309.2,0
298.8,309.2,0
298.9,309.3,0
298.9,309.3,0
298.8,309.3,0
298.9,309.3,0
299.0,309.4,0
299.0,309.4,0
299.0,309.5,0
299.1,309.5,0
299.1,309.4,0
299.1,309.4,0
299.0,309.4,0
299.1,309.5,0
299.0,309.4,0
299.0,309.4,0
298.9,309.3,0
298.8,309.1,0
298.8,309.2,0
298.9,309.2,0
298.8,309.1,0
298.9,309.2,0
298.8,309.1,0
298.8,309.1,0
298.8,309.1,0
298.8,309.1,0
298.8,309.2,0
298.8,309.1,0
298.8,309.1,0
298.7,309.0,0
298.8,309.1,0
298.8,309.2,0
298.9,309.2,0
298.9,309.1,0
298.9,309.1,0
298.8,309.0,0
298.7,309.0,0
298.7,309.0,0
298.8,309.1,0
298.8,309.1,0
298.8,309.1,0
298.8,309.0,0
298.8,309.1,0
298.8,309.1,0
298.8,309.0,0
298.8,309.0,0
298.9,309.0,0
299.0,309.1,0
299.0,309.1,0
298.9,308.9,0
298.8,308.9,0
298.8,308.9,0
298.9,309.0,0
298.9,309.0,0
298.9,309.1,0
298.9,309.1,0
299.0,309.1,0
298.9,309.0,0
298.8,308.9,0
298.8,308.9,0
298.8,308.9,0
298.8,308.9,0
298.8,308.9,0
298.8,308.8,0
298.9,308.9,0
298.9,308.9,0
299.0,309.0,0
298.9,308.9,0
299.0,309.0,0
299.0,309.0,0
299.0,309.0,0
299.0,309.0,0
298.9,308.9,0
298.9,308.9,0
298.9,308.9,0
298.9,308.9,0
299.1,309.0,0
299.0,308.9,0
299.0,309.0,0
299.0,309.0,0
298.9,308.9,0
298.9,308.8,0
298.8,308.8,0
298.8,308.9,0
298.8,308.8,0
298.8,308.8,0
298.8,308.8,0
298.8,308.7,0
298.8,308.7,0
298.8,308.7,0
298.8,308.8,0
298.9,308.8,0
298.9,308.7,0
298.8,308.6,0
298.7,308.6,0
298.8,308.7,0
298.8,308.6,0
298.8,308.6,0
298.8,308.6,0
298.9,308.7,0
298.8,308.6,0
298.8,308.6,0
298.7,308.5,0
298.9,308.7,0
298.9,308.7,0
299.0,308.8,0
298.9,308.7,0
298.9,308.7,0
298.9,308.6,0
299.0,308.6,0
298.9,308.6,0
299.0,308.6,0
298.9,308.5,0
298.8,308.4,0
